FundingInstrumentGaLevel1,AmountGranted,FundingInstrumentGaReporting,FundingInstrumentGaReporting_De,FundingInstrumentGaReporting_Fr,FundingInstrumentGa
Programmes,171340,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux,Southeast Asia - Europe Joint Funding Scheme
Programmes,280752,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux,Southeast Asia - Europe Joint Funding Scheme
Programmes,250000,Bilateral programmes,Bilaterale Programme,Programmes bilatéraux,Southeast Asia - Europe Joint Funding Scheme
Programmes,488018,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,698809,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,545528,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,815096,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,948963,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,399205,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,291009,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,997578,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,715666,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,546531,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,478227,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,687222,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,575928,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
Programmes,973304,National Research Programmes (NRPs),Nationale Forschungsprogramme (NFP),Programmes nationaux de recherche (PNR),Projekte NFP 79
